product,depends_on,shared_data_warning
ground final light curve,original archives; calibration masters; reduced and aligned images; 25-pixel AstroImageJ table; 2022 observing-schedule row,Photutils and AstroImageJ extractions use the same ground images; the schedule clocks are confirmed as Eastern time.
four-sector TESS measurements,MAST QLP light curves; catalog ephemeris,SPOC and TESS-SPOC checks reuse the same TESS observations.
adopted refined ephemeris,MAST QLP light curves for Sectors 14 and 41; MAST SPOC two-minute light curves for Sectors 54 and 81; SPOC transit geometry,Only one pipeline represents each transit; pipeline-control fits reuse the same TESS observations and are not independent detections.
ephemeris robustness controls,accepted 27-event TESS timing table; public MuSCAT2 report for the named external control,"All primary robustness fits reuse the same TESS events; the four-sector jackknife has only four clusters, and MuSCAT2 is tentative and external-control only."
2022 schedule reconstruction,confirmed EDT schedule conversion; public ULMT prediction; public CMO report preserving old and revised periods,The reconstruction strongly explains the timing cells but cannot recover or prove the missing workbook formulas and history.
whole-sequence ground transit search,adopted undetrended ground light curve; published TOI and SPOC durations and observed depths; exposure-integrated box model,"Overlapping trial midpoints are not independent, formal WLS covariance omits temporal correlation, and exact-depth injection recovery is a phase diagnostic rather than a calibrated detection probability."
TESS custom-aperture depths and difference images,MAST TESScut cubes; TESS box timing results,Aperture variants are not independent observations.
official SPOC report comparison,"MAST DVR, DVM, and DVS PDFs; DVR XML; DVT FITS; DR122 target table; Exo.MAST combined TCE table; project QLP and SPOC measurements",The official and project results reuse the same Sector 54 and 81 TESS observations.
dilution screen,TIC v8; Delta-I companion measurement stated in project context; catalog depth,Delta I is only a proxy for TESS-band contrast.
ground nearby-star screen,TIC v8; first-frame WCS; all aligned ground images; comparison counts,"The screen uses the confirmed EDT schedule window, and the target aperture cannot separate the 0.517-arcsecond companion."
research manuscript and PDF,"canonical ground, whole-sequence-search, TESS, timing-robustness, schedule-reconstruction, false-positive, ExoFOP-status, and literature-snapshot products; six lossless SVG figures","The manuscript is a synthesis of the listed products, not an independent detection; quantitative fields are injected from canonical files and the candidate, companion, dilution, and novelty limits remain binding."
