date,decision,reason,alternative
2026-07-23,Keep the ground light curve undetrended.,No tested correction passed the predeclared blocked out-of-sample rule.,"Airmass, sky, width, position, comparison counts, and combined models were retained as checks."
2026-07-23,Use all ten comparison stars in the primary flux sum.,The ensemble was not selected by minimizing target scatter; pseudo-target checks were acceptable.,Equal-star and inverse-error ensembles were saved as robustness comparisons.
2026-07-23,Do not fit a transit to the GMU sequence.,"The current and historical timing sources disagree, and a fixed historical-window box gives no significant dimming.",Display the historical window and report its fixed-box check without a physical transit fit.
2026-07-23,Use a finite-exposure box for first-pass TESS measurements.,It is transparent across cadences and does not imply unsupported physical precision.,A physical limb-darkened fit remains gated by dilution and companion information.
2026-07-23,Treat nearby-star and dilution calculations as screens.,"At the time the schedule timezone was not yet confirmed; the run is not the formal program NEB procedure, and neither the ground apertures nor TESS resolve the close companion.","Confirm the schedule timezone, complete the formal program NEB procedure, and use resolving observations or permitted ExoFOP products."
2026-07-23,"Use official SPOC reports as same-observation checks, not independent validation.","The two per-sector reports, the combined report, and the project measurements all use the same Sector 54 and 81 TESS pixels.",Keep the official diagnostics beside the project results while preserving the close-companion limitation.
2026-07-24,"Before direct confirmation, use America/New_York as the working interpretation and preserve a UTC comparison.",The sheet's planned 21:10-04:55 range brackets the actual image sequence only under the Eastern civil-time interpretation.,Obtain a direct time-zone confirmation; this was completed on 2026-08-18.
2026-07-31,Adopt the 27-event mixed-pipeline trapezoidal ephemeris for timing and poster claims.,"QLP is the only pipeline available for Sectors 14 and 41, while SPOC two-minute data improve timing in Sectors 54 and 81; the trapezoid represents the near-grazing shape without counting any event twice.",Retain the QLP-only and box-shape fits as explicit controls in the same output record.
2026-08-18,Treat the 2022 schedule clocks as confirmed Eastern time.,Mason confirmed that the spreadsheet times are Eastern; America/New_York was EDT (UTC-4) on the observing night.,"The UTC calculation is retained only as an audit comparison, not as an active interpretation."
2026-08-22,Interpret the 2022 timing cells through a qualified stale-ephemeris reconstruction.,"The public 2021 ingress, midpoint, and egress propagated by 96 cycles at the reported old period match the schedule markers within 56.1 seconds.",Do not claim the original workbook history is proven; retain the missing formulas and revision history as explicit limits.
2026-08-22,Keep the 27-event TESS-only linear ephemeris primary and report robustness controls separately.,"Sector aggregation, selection thresholds, event and sector resampling, and the MuSCAT2 external control give consistent periods; a quadratic term is not favored by BIC.",Do not replace the primary formal uncertainty with a four-cluster jackknife or mix a tentative public ground timing into the headline fit.
2026-08-22,Limit the novelty claim to the dedicated four-sector synthesis and stale-schedule reconstruction.,"Exact-name literature searches found no dedicated paper, but prior ground observations exist and TOI-3505.01 appears in an Ariel population target table.","Do not claim first classification, first follow-up, discovery, validation, or confirmation; retain the phrase 'To our knowledge.'"
2026-08-29,Replace the every-midpoint ground exclusion with exact-depth phase-injection recovery.,"The formal WLS covariance does not model temporal correlation, and catalog- and SPOC-depth injections exceed a formal 3-sigma threshold at 80.6% and 95.2% of admissible midpoints rather than 100%.",Retain formal upper bounds only as explicitly labeled white-noise diagnostics; quote no Gaussian false-alarm probability or global phase exclusion.
2026-08-29,Refresh candidate status and the qualified novelty search before finalizing the manuscript.,"The deadline extension provides time for a current check; ExoFOP and the NASA Exoplanet Archive still list a planet candidate, while arXiv, OpenAlex, and the archive bibliography show no dedicated target study.","Keep all status and novelty statements dated and qualified, and repeat the search before any later public preprint or journal submission."
